,Unnamed: 0,text,likes,Date,Time,confidence,hindi_ratio2,type,type2
0,0,hail india,0,2025-05-31,07:39:17,[0.16971871],0.0,['assertive'],['assertive']
1,1,well done brother,6,2025-05-31,12:07:48,[0.8321717],0.0,['assertive'],['assertive']
2,2,god bless dhruv rathi,1,2025-05-31,13:45:37,[0.3843325],0.0,['assertive'],['assertive']
3,3,watch (fasil warich ),1,2025-05-31,07:38:51,[0.5893226],0.0,['imperative'],['assertive']
4,4,long live unity india,0,2025-05-31,08:59:36,[0.20433551],0.0,['assertive'],['assertive']
5,5,proud to our armed forces,2,2025-05-31,07:37:49,[0.7334306],0.0,['assertive'],['assertive']
6,6,unity in diversity makes india more rich and more beautiful,0,2025-05-31,09:05:45,[0.8453392],0.0,['assertive'],['assertive']
7,7,proud of south indian,1,2025-05-31,16:30:11,[0.6993358],0.0,['assertive'],['assertive']
8,8,very well said dhruv you just nailed it…,3,2025-06-01,17:35:09,[0.94783944],0.0,['assertive'],['assertive']
9,9,"may humanity, love trumps hatred and bigotry",0,2025-05-31,15:12:40,[0.733443],0.0,['assertive'],['interrogative']
10,10,may god bless our beloved india,0,2025-06-05,07:12:55,[0.35791036],0.0,['assertive'],['interrogative']
11,11,happy to see newnlaundy in your list,0,2025-05-31,18:22:40,[0.79541653],0.0,['assertive'],['imperative']
12,12,wow really appreciate this,2,2025-06-01,04:38:02,[0.80512106],0.0,['assertive'],['assertive']
13,13,respected agniveer akashdeep singh of punjab also sacrificed his life in this operation,137,2025-06-01,05:32:04,[0.94329],0.0,['assertive'],['assertive']
14,14,our nation hindustan always in our heart,2,2025-05-31,09:27:57,[0.3292025],0.0,['assertive'],['assertive']
15,15,waiting for this from so long,4,2025-05-31,09:22:39,[0.63315046],0.0,['assertive'],['assertive']
16,16,do you have an english channel?,0,2025-05-31,16:40:03,[0.8682154],0.0,['interrogative'],['interrogative']
17,17,may god bless to peace in india,0,2025-05-31,13:25:12,[0.65364885],0.0,['assertive'],['interrogative']
