,text,likes,Date,Time,confidence,language,script
0,"mai ek muslim hu aur main garv karta hun ki hamara desh india hai
i love my india",25412,2025-05-31,07:42:46,[0.143928],English,Roman
1,expose ani in next video,14004,2025-05-31,07:45:22,[0.882483],English,Roman
2,"ani  asian news international
ani  always need income",13583,2025-05-31,07:35:07,[0.7391506],English,Roman
3,"hi dhruv bhai,
i’m nanang reaching out from arunachal pradesh as a concerned citizen regarding the siang upper multipurpose project (hydropower dam) that threatens the siang river and the surrounding region
this massive project risks:
submerging large areas of forest and displacing indigenous communities
destroying fragile ecosystems and biodiversity
disrupting the natural flow of the siang river, which is vital for downstream populations and cultural identity
many local voices are being ignored, and we urgently need national attention on this issue before irreversible damage is done
your channel has a strong voice for environmental and social justice — can you help highlight this issue for a wider audience?
thank you love from arunachal pradesh",11311,2025-05-31,07:50:55,[0.89447784],English,Roman
4,,3989,2025-05-31,09:58:52,[0.9875925],Haitian Creole,Roman
5,"get an exclusive nordvpn deal here
it’s risk-free with nord’s 30-day money-back guarantee!",3183,2025-05-31,08:03:15,[0.5947952],English,Roman
6,as a kashmiri i confirm u r 100% genuine without biased info…,2352,2025-05-31,09:39:59,[0.8578279],English,Roman
7,"agniveer akashdeep singh just 21 year old, laid down his life to the nation on may14 in j&k
the nation bows to his supreme sacrifice, courage and unwavering commitment
your name will live on___in every salute, in every heart",2102,2025-05-31,10:56:38,[0.911228],English,Roman
8,"dhruv's response is worth watching!
hats off bro",1923,2025-05-31,09:06:25,[0.9632897],English,Roman
9,"being pakistani i highly condemn the pahalgam attack
i urge those who are responsible should be held accountable
there should be a exhausting investigation
we wish peace for the region",1546,2025-05-31,09:59:05,[0.931199],English,Roman
10,expose ani pls,1352,2025-05-31,15:28:11,[0.729162],English,Roman
11,"""it’s hard for pakistan to grasp that india is a democracy—where criticizing the government isn’t treason, it’s a right
they’ve never known such freedom, so they mistake dissent for disloyalty
they saw you as a voice against india and called you a friend, not realizing the world isn’t that black and white
being honest isn’t betrayal—it’s strength
and that’s something they’ve never understood
""",1252,2025-05-31,08:16:56,[0.92130405],English,Roman
12,"give an answer to the pakistani children who were killed in the operation sindoor
don't show one side of the picture
which terrorists did india kill?
it is supporting afghanistan itself",1114,2025-05-31,17:40:14,[0.98865724],English,Roman
13,"dhruv bhai, i’ve been watching you since 2019 and haven’t missed a single video
your all videos are filled with facts and truth
even if 1% of the information ever turns out to be incorrect, it’s completely understandable nobody is perfect
as a baloch from balochistan, i sincerely request you to make a detailed video about the issues in balochistan
much love and respect from balochistan",1035,2025-05-31,08:28:09,[0.9190852],English,Roman
14,"""pakistanis be like:
‘truth should be told!
’
dhruv: tells their truth
pakistanis: ‘no no, not that one!
’ """,1001,2025-05-31,07:43:10,[0.8549982],English,Roman
15,"*every sensible indian regardless of any religion loves you dhruv*
*keep it up*",973,2025-05-31,08:49:22,[0.78150773],English,Roman
16,"modi be like : humne rawalpindi stadium urha dia tha , pakistan ne usi m hi match krwa dia",727,2025-05-31,19:01:00,[0.29285377],English,Roman
17,"i am from bangladesh
india's unity in the question of sovereignty really mesmerizes me!
indian political parties may have different opinions that are from absolutely different poles but they stand united against any danger for the sake of their country",720,2025-05-31,13:32:25,[0.96373844],English,Roman
18,"hi dhruv!
i’m a regular viewer from nepal  and truly appreciate the way you explain complex topics with clarity
i’d love to request a video on the ongoing corruption issues in nepal and the recent protests and political tensions between pro-monarchy and pro-democracy groups
it’s becoming a serious national conversation, and your perspective could help many—both inside and outside nepal—understand the deeper context
hope you consider it!",694,2025-05-31,15:43:47,[0.9108436],English,Roman
19,"you are still talking against pakistan but where are details of operation sindoor?
?",688,2025-06-01,09:23:11,[0.9809009],English,Roman
20,i am muslim always support you criticism is the part of change,615,2025-05-31,08:58:51,[0.9471283],English,Roman
