,index,text,likes,Date,Time,confidence
0,33392,"pal.gam.k.dasht.gerd.modi.k.ger.chopa
hovatha.sach.bolo",0,2025-06-04,17:24:32,[0.0440551]
1,26347,bhai mere trf ka koi talluq nahe hai hum se zulm india karay malba hum pe dalay kyun bhai ?,0,2025-05-31,10:29:16,[0.04958651]
2,3832,mera ek hi dream hai pakistan ko map se hata dena,1,2025-06-02,03:32:45,[0.05005845]
3,14155,ju bhi muslim hai wo uske desh ka nahi to wo mukammal muslim nahi garv hai mai muslim hoon aur uspe sone pe suhaga indian muslim hoon,0,2025-05-31,19:13:47,[0.05112198]
4,15580,bhai world or b kuch ho raha h.. wo bata de,0,2025-06-01,18:54:53,[0.05241713]
5,20408,khy india ma muslim ko nahi kr raha terget,0,2025-05-31,13:49:33,[0.05400569]
6,28129,kyon log sourabh joshi ko dekhte hain kuchh nahin uska video mein kaun india ka number van youtuber banaa diya ghar ghar ka kahani natak dhong varna kabhi kisi ki help karna na kahin mudde mein bolna na kuchh jankari na kuch sikhane milta kaise dekhte hain itne log usko logo ka popat ho raha h a log samjh nai pa rahe h esko,0,2025-05-31,09:50:12,[0.05446571]
7,8571,dhruv bhai aapka video ko mai besabri se intezar karta hu,1,2025-05-31,08:01:57,[0.0563683]
8,32424,real tu ya hain ka indian kashmir chaye jo ka hum kabhi nhi da ga sjma okp ko bhi ek din humra hoga inasllah,0,2025-05-31,08:36:36,[0.05646278]
9,22730,"ap me russia k khilaf b bola hy china k khilaf b bola hy
usa k khilaf b bola hy or b bohat k khilaf bola lekin kisi ne itni jaldi tumhara software update nahi kia jitni jaldi pakidtani content creators ne kr dya",0,2025-05-31,12:14:20,[0.0586885]
10,13307,rahim yar khan mein joi airbase hi nahi godi,0,2025-05-31,20:38:21,[0.06021153]
11,8146,na cherd malanga nu..,1,2025-05-31,08:06:30,[0.06162481]
12,4691,aby woh 1 bacha ha 7 years ka jisky funeral pe woh gye teh,1,2025-06-01,07:59:11,[0.06221604]
13,9128,bhai tum har bar hindu people ko target kr ke yahi bolta hai ki wo sub atankvad krva te hai pr har wo mushlim jo bhid me ho kr atankvad krte hai to uske bare me q nahi bolta why hindus people?,0,2025-06-01,10:31:32,[0.06311238]
14,12155,"kalyug hai bhai koi sach nahi sunn paata
sahi ko sahi nahi bol sakte galat ko galat bolo toh bhi sabko mirchi lagti",0,2025-06-01,01:12:11,[0.06442993]
15,6320,"i love my india
mere nabi(saw) ne farmaya tum jis mulk mein rehte ho usi ko apnao",1,2025-05-31,09:46:13,[0.06473313]
16,33304,sir jo glt hai usko hm b glt kahty hein but ap apmi last video mein reference usi media ka dete ho jo godi media ka hota..,0,2025-05-31,08:24:04,[0.06510585]
17,16100,abe saf saf ek din bol de ki hindu atankwadi hai kyu ki tu un muslim kai bare mai kabhi nahi dikhaya jo pakistan ka jandha zameen se chura rahe the abe sharm kar sake sharm kar,0,2025-05-31,17:17:47,[0.06547302]
18,17675,kitna videos banale tu ganta kuch fatak padega bharat ku,0,2025-06-01,22:10:07,[0.0658926]
19,7951,"yeh nahi samjh aya k hamla hony k 10 minutes bad hi fir pakistan par ho jati kia yeh planning nahi thi?
chand din pehly wahan se check post q hatai gai?",1,2025-05-31,12:31:58,[0.06647582]
20,20503,"9:52 kabgi kisi mulle ko bhi expose kar de , yah unse pyar hai tujhe ?",0,2025-05-31,13:43:46,[0.06753492]
21,19280,"last me jake isne apni aukat dikha di dhirendra shashtri ji ko dekha kar,.. yahi un mulla molvi ke bare me nhi bolega jo 72 hooren ke bare me jahilo wali bat krte hai",0,2025-06-02,03:18:37,[0.06755625]
22,22291,godi media ki refrences de kr kia sabit kr rhe the ek b international media ki ref ni di jo maar prhi h apko bewqoof godis,0,2025-06-02,09:38:04,[0.06769779]
