language_code,language_name,script
af,Afrikaans,Roman
als,Alemannic,Roman
ast,Asturian,Roman
bar,Bavarian,Roman
bcl,Central Bikol,Roman
br,Breton,Roman
bs,Bosnian,Roman
ca,Catalan,Roman
cbk,Chavacano,Roman
ceb,Cebuano,Roman
co,Corsican,Roman
cs,Czech,Roman
cy,Welsh,Roman
da,Danish,Roman
de,German,Roman
en,English,Roman
es,Spanish,Roman
et,Estonian,Roman
eu,Basque,Roman
fi,Finnish,Roman
fr,French,Roman
fy,Frisian,Roman
ga,Irish,Roman
gl,Galician,Roman
gv,Manx,Roman
hif,Fiji Hindi,Roman
hr,Croatian,Roman
ht,Haitian Creole,Roman
hu,Hungarian,Roman
ia,Interlingua,Roman
id,Indonesian,Roman
ie,Interlingue,Roman
io,Ido,Roman
is,Icelandic,Roman
it,Italian,Roman
jbo,Lojban,Roman
jv,Javanese,Roman
kw,Cornish,Roman
la,Latin,Roman
lb,Luxembourgish,Roman
lmo,Lombard,Roman
ms,Malay,Roman
mt,Maltese,Roman
nap,Neapolitan,Roman
nds,Low German,Roman
nl,Dutch,Roman
nn,Norwegian Nynorsk,Roman
no,Norwegian,Roman
oc,Occitan,Roman
pam,Pampanga,Roman
pl,Polish,Roman
pms,Piedmontese,Roman
pt,Portuguese,Roman
qu,Quechua,Roman
rm,Romansh,Roman
ro,Romanian,Roman
sc,Sardinian,Roman
scn,Sicilian,Roman
sco,Scots,Roman
sk,Slovak,Roman
sl,Slovenian,Roman
sq,Albanian,Roman
sr,Serbian (Roman),Roman
su,Sundanese,Roman
sv,Swedish,Roman
sw,Swahili,Roman
tk,Turkmen,Roman
tl,Tagalog,Roman
vi,Vietnamese,Roman
vls,West Flemish,Roman
vo,Volapük,Roman
wa,Walloon,Roman
war,Waray,Roman
yo,Yoruba,Roman
bh,Bihari,Devanagari
gu,Gujarati,Devanagari
hi,Hindi,Devanagari
kn,Kannada,Devanagari
ml,Malayalam,Devanagari
mr,Marathi,Devanagari
ne,Nepali,Devanagari
or,Odia,Devanagari
pa,Punjabi,Devanagari
sa,Sanskrit,Devanagari
sd,Sindhi,Devanagari
ta,Tamil,Devanagari
te,Telugu,Devanagari
