sentence,label
Please upload more videos on this topic.,imperative
Can you help me with this concept?,interrogative
This tutorial was extremely helpful.,assertive
Don't forget to subscribe to the channel.,imperative
"Wow, this was amazing!",exclamatory
Are you going to cover this in your next video?,interrogative
The explanation was very clear.,assertive
Let me know your thoughts in the comments.,imperative
Great job!,exclamatory
Upload more DSA content soon!,imperative
Why is this not covered?,interrogative
You explained it better than my teacher!,exclamatory
Try making a video on recursion.,imperative
Is there a playlist for this series?,interrogative
That blew my mind!,exclamatory
Please do a live session.,imperative
