word,count,common
you,8175,True
the,7473,True
and,6709,True
to,4928,True
of,4780,True
is,4767,True
in,4296,True
a,3847,True
are,3717,True
pakistan,3471,True
your,3277,True
i,3020,True
india,2738,True
that,2622,True
video,2458,True
on,2384,True
indian,2375,True
this,2242,True
for,2227,True
not,2111,True
but,2054,True
about,1841,True
from,1763,True
it,1591,True
dhruv,1560,False
we,1483,True
by,1423,True
have,1418,True
pakistani,1315,True
with,1289,True
people,1277,True
was,1261,True
why,1234,True
please,1144,True
what,1138,True
they,1092,True
as,1073,True
media,1070,True
all,1063,True
make,1006,True
one,950,True
be,945,True
army,944,True
rathee,925,False
no,893,True
will,860,True
who,860,True
so,860,True
if,858,True
just,843,True
attack,831,True
dont,817,True
our,801,True
like,796,True
he,785,True
also,784,True
its,765,True
how,753,True
or,742,True
country,721,True
only,719,True
can,718,True
were,715,True
their,693,True
now,682,True
has,667,True
love,651,True
know,636,True
truth,629,True
do,626,True
any,598,True
there,597,True
always,592,True
videos,583,True
my,579,True
bro,570,True
at,566,True
news,565,True
am,560,True
against,557,True
because,551,True
government,528,True
operation,509,True
sir,502,True
right,500,True
down,487,True
then,485,True
when,479,True
even,470,True
his,470,True
which,468,True
an,465,True
modi,461,False
where,456,True
should,448,True
still,444,True
very,441,True
say,435,True
jets,432,True
war,424,True
respect,424,True
both,408,True
world,407,True
support,405,True
did,402,True
international,394,True
them,393,True
more,391,True
many,391,True
pak,380,True
military,378,True
want,375,True
godi,375,False
good,372,True
these,369,True
first,368,True
after,367,True
time,366,True
some,365,True
killed,354,True
civilians,350,True
out,343,True
think,342,True
again,336,True
information,335,True
us,335,True
muslim,335,True
fake,332,True
other,329,True
brother,329,True
me,328,True
own,318,True
muslims,315,True
terrorists,314,True
facts,310,True
said,307,True
been,304,True
channel,304,True
lost,303,True
never,302,True
need,298,True
indians,297,True
kashmir,296,True
would,289,True
innocent,286,True
tell,284,True
sindoor,277,False
didnt,276,True
talk,274,True
shot,274,True
side,274,True
than,271,True
being,270,True
air,267,True
true,264,True
see,263,True
ur,263,True
peace,263,True
agree,261,True
really,253,True
wrong,253,True
same,251,True
false,248,True
give,246,True
research,243,True
ani,242,False
every,241,True
well,241,True
hindu,237,True
those,235,True
pakistanis,233,False
such,231,True
im,231,True
most,229,True
great,226,True
show,225,True
made,223,True
fact,217,True
doing,217,True
much,217,True
cant,216,True
thats,216,True
get,215,True
thank,214,True
here,211,True
proof,210,True
up,210,True
pahalgam,209,False
evidence,208,True
response,208,True
countries,207,True
may,207,True
too,205,True
children,204,True
best,204,True
next,203,True
person,203,True
without,199,True
believe,196,True
real,193,True
khan,193,True
proud,192,True
hindus,192,False
biased,191,True
comment,191,True
work,191,True
whole,190,True
balochistan,188,False
reality,187,True
speak,187,True
content,186,True
thanks,186,True
last,186,True
another,185,True
—,184,False
rafale,184,False
way,183,True
thing,182,True
mention,182,True
talking,182,True
credibility,181,True
rathi,181,False
saying,181,True
man,180,True
youre,180,False
before,179,True
come,178,True
attacks,178,True
investigation,177,True
things,174,True
destroyed,170,True
propaganda,170,True
understand,169,True
topic,169,True
condition,167,True
s,166,True
reply,165,True
stop,164,True
attacked,163,True
done,162,True
used,161,True
nation,161,True
had,160,True
govt,160,True
part,159,True
youtuber,159,False
sides,159,True
keep,158,True
go,158,True
sources,158,True
full,156,True
question,156,True
religion,155,True
expose,155,True
making,155,True
previous,154,True
exposed,153,True
take,151,True
live,150,True
watching,150,True
got,150,True
trying,150,True
him,149,True
over,149,True
force,148,True
totally,147,True
neutral,147,True
nothing,146,True
while,143,True
lies,143,True
don’t,141,False
watch,141,True
bangladesh,141,True
point,139,True
hospital,138,True
let,138,True
between,136,True
issue,136,True
based,135,True
important,132,True
fighter,132,True
something,130,True
trf,130,False
appreciate,130,True
into,128,True
could,128,True
flag,128,True
ask,127,True
stand,126,True
use,125,True
accept,125,True
voice,124,True
button,123,True
during,123,True
day,122,True
prove,122,True
lie,122,True
security,121,True
waiting,121,True
everyone,120,True
mentioned,120,True
telling,120,True
bla,120,False
water,119,True
due,118,True
big,118,True
politics,117,True
rafael,117,True
better,117,True
anything,116,True
two,116,True
bad,116,True
terror,114,True
answer,114,True
audience,114,True
base,114,True
happened,113,True
everything,113,True
dear,113,True
showing,113,True
new,113,True
number,112,True
it’s,111,False
try,111,True
raise,111,True
become,110,True
narrative,108,True
pakistans,107,False
jet,107,True
incident,107,True
including,106,True
called,106,True
yes,105,True
matter,105,True
issues,105,True
political,105,True
back,105,True
forces,104,True
peoples,104,True
blame,104,True
drones,104,False
name,104,True
ever,104,True
vs,103,True
knowledge,103,True
going,102,True
died,102,True
fantastic,102,True
story,102,True
does,101,True
doesnt,101,True
yourself,101,True
power,101,True
indias,100,False
involved,100,True
supporting,100,True
actually,100,True
clear,100,True
system,100,True
money,99,True
single,99,True
rest,99,True
problem,99,True
youtube,98,False
civilian,98,True
years,98,True
syed,98,False
views,96,True
imran,96,False
loud,95,True
state,95,True
tea,95,True
spreading,94,True
today,93,True
source,93,True
history,93,True
trust,93,True
laugh,93,True
few,92,True
downed,92,False
mr,92,True
sorry,91,True
through,91,True
instead,91,True
spread,91,True
correct,91,True
must,91,True
failed,90,True
informative,90,True
accepted,90,True
long,90,True
situation,89,True
social,89,True
knows,89,True
lot,89,True
sided,89,True
behind,89,True
since,88,True
kashmiri,87,False
banned,87,True
lives,87,True
pilot,86,True
killing,86,True
times,86,True
living,86,True
bihar,86,False
defence,85,True
claim,85,True
seen,85,True
public,84,True
change,84,True
according,84,True
china,84,True
using,84,True
youtubers,84,False
already,83,True
life,82,True
face,82,True
raw,82,True
claims,82,True
giving,82,True
hope,81,True
credit,81,True
case,81,True
off,80,True
shah,80,True
once,80,True
election,80,True
location,80,True
word,79,True
start,79,True
aircraft,79,True
questions,79,True
finally,78,True
save,78,True
check,78,True
guys,78,True
help,77,True
credible,77,True
murshidabad,77,False
foreign,77,True
read,76,True
truly,76,True
shame,76,True
started,76,True
channels,76,True
rather,76,True
muzammil,75,False
confirmed,75,True
fan,75,True
least,75,True
targeted,75,True
independent,75,True
analysis,75,True
common,75,True
won,75,True
end,74,True
reason,74,True
strikes,74,True
anyone,73,True
rajasthan,72,True
honest,72,True
feel,72,True
hit,72,True
put,72,True
others,72,True
god,72,True
explain,71,True
comes,71,True
clearly,71,True
women,71,True
yet,71,True
losses,71,True
conflict,71,True
th,71,True
didn’t,71,False
religious,70,True
told,70,True
damage,70,True
ceasefire,70,False
rss,70,True
nepal,70,True
find,69,True
nice,69,True
completely,69,True
someone,69,True
old,69,True
journalist,69,True
exam,69,True
liar,69,True
look,69,True
planes,68,True
humanity,68,True
responsible,68,True
absolutely,68,True
says,68,True
border,68,True
vedio,68,False
kind,67,True
under,67,True
justice,67,True
loss,67,True
chief,67,True
recent,66,True
thought,66,True
human,66,True
listen,66,True
strong,66,True
rathe,66,False
win,66,True
jats,66,False
si,65,True
hanuman,65,False
comments,65,True
druv,65,False
opinion,65,True
article,65,True
beniwal,65,False
karni,65,False
sena,65,False
okay,65,True
courage,65,True
statement,65,True
ok,64,True
group,64,True
crying,63,True
taken,63,True
mean,63,True
regarding,63,True
salute,63,True
stable,63,True
speaking,63,True
level,63,True
n,63,True
provide,62,True
held,62,True
defense,62,True
israel,62,True
points,62,True
came,62,True
wait,61,True
different,61,True
getting,61,True
criticism,61,True
half,61,True
rafales,60,False
express,60,True
involvement,60,True
whatever,60,True
islam,60,True
congress,60,True
hard,60,True
unbiased,60,True
message,60,True
region,60,True
community,59,True
airbase,59,False
missile,59,True
mind,59,True
pls,59,True
enough,59,True
doubt,59,True
whats,59,True
criticize,59,False
minutes,59,True
guy,58,True
awareness,58,True
m,58,True
place,58,True
wing,58,True
kill,58,True
background,58,True
etc,58,True
shoot,58,True
stay,58,True
minister,57,True
establishment,57,True
report,57,True
call,57,True
command,57,True
admitted,56,True
present,56,True
software,56,True
articles,56,True
fight,56,True
difference,55,True
english,55,True
her,55,True
germany,55,True
iaf,55,False
simple,55,True
afghanistan,54,True
united,54,True
safe,54,True
pm,54,True
stupid,54,True
i’m,54,False
kids,54,True
sense,54,True
happy,54,True
job,53,True
reports,53,True
education,53,True
hatred,53,True
critical,53,True
shows,53,True
reference,53,True
view,53,True
share,53,True
away,52,True
till,52,True
gave,52,True
however,52,True
proved,52,True
trade,52,True
dhruve,52,False
paf,52,False
far,51,True
general,51,True
year,51,True
misinformation,51,False
care,51,True
else,51,True
faisal,51,False
action,51,True
taking,51,True
nations,50,True
denied,50,True
past,50,True
around,50,True
blaming,50,False
lying,50,True
agreed,50,True
open,50,True
punjab,50,True
enemy,50,True
references,50,True
poor,50,True
party,50,True
shit,49,True
hello,49,True
